species_id,pokedex_id,name,base_hp,base_attack,base_defense,base_speed,base_special,type1,type2,catch_rate,base_xp_yield,initial_attack1,initial_attack2,initial_attack3,initial_attack4,growth_rate,tmlearn_bitmap1,tmlearn_bitmap2,tmlearn_bitmap3,tmlearn_bitmap4,tmlearn_bitmap5,tmlearn_bitmap6,tmlearn_bitmap7,padding
59,50,Diglett,10,55,25,95,45,Ground,Ground,255,81,Scratch,,,,0,160,3,8,206,2,136,2,0
118,51,Dugtrio,35,80,50,120,70,Ground,Ground,50,153,Scratch,Growl,Dig,,0,160,67,8,206,2,136,2,0
77,52,Meowth,40,45,35,90,40,Normal,Normal,255,69,Scratch,Growl,,,0,160,143,136,193,194,8,2,0
144,53,Persian,65,70,60,115,65,Normal,Normal,90,148,Scratch,Growl,Bite,Screech,0,160,207,136,193,194,8,2,0
47,54,Psyduck,50,52,48,55,50,Water,Water,190,80,Scratch,,,,0,177,191,15,200,194,8,50,0
128,55,Golduck,80,82,78,85,80,Water,Water,75,174,Scratch,TailWhip,Disable,,0,177,255,15,200,194,8,50,0
57,56,Mankey,40,80,35,70,35,Fighting,Fighting,190,74,Scratch,Leer,,,0,177,131,143,201,198,136,34,0
117,57,Primeape,65,105,60,95,60,Fighting,Fighting,75,149,Scratch,Leer,KarateChop,FurySwipes,0,177,195,143,201,198,136,34,0
33,58,Growlithe,55,70,45,60,50,Fire,Fire,190,91,Bite,Roar,,,5,160,3,72,200,227,8,2,0
20,59,Arcanine,90,110,80,95,80,Fire,Fire,75,213,Roar,Ember,Leer,TakeDown,5,160,67,72,232,227,8,2,0
71,60,Poliwag,40,50,40,90,40,Water,Water,255,77,Bubble,,,,3,160,63,8,208,130,40,18,0
110,61,Poliwhirl,65,65,65,90,50,Water,Water,120,131,Bubble,Hypnosis,WaterGun,,3,177,63,15,214,134,40,50,0
111,62,Poliwrath,90,85,95,70,70,Water,Fighting,45,185,Hypnosis,WaterGun,Doubleslap,BodySlam,3,177,127,15,214,134,40,50,0
148,63,Abra,25,20,15,90,105,Psychic,Psychic,200,73,Teleport,,,,3,177,3,15,240,135,56,67,0
38,64,Kadabra,40,35,30,105,120,Psychic,Psychic,100,145,Teleport,Confusion,Disable,,3,177,3,15,248,135,56,67,0
149,65,Alakazam,55,50,45,120,135,Psychic,Psychic,50,186,Teleport,Confusion,Disable,,3,177,67,15,248,135,56,67,0
106,66,Machop,70,80,50,35,35,Fighting,Fighting,180,88,KarateChop,,,,3,177,3,15,206,166,136,34,0
41,67,Machoke,80,100,70,45,50,Fighting,Fighting,90,146,KarateChop,LowKick,Leer,,3,177,3,15,206,166,136,34,0
126,68,Machamp,90,130,80,55,65,Fighting,Fighting,45,193,KarateChop,LowKick,Leer,,3,177,67,15,206,166,136,34,0
188,69,Bellsprout,50,75,35,40,70,Grass,Poison,255,84,VineWhip,Growth,,,3,36,3,56,192,3,8,6,0
189,70,Weepinbell,65,90,50,55,85,Grass,Poison,120,151,VineWhip,Growth,Wrap,,3,36,3,56,192,3,8,6,0
190,71,Victreebel,80,105,65,70,100,Grass,Poison,45,191,SleepPowder,StunSpore,Acid,RazorLeaf,3,164,67,56,192,3,8,6,0
24,72,Tentacool,40,40,35,70,100,Water,Poison,190,105,Acid,,,,5,36,63,24,192,131,8,22,0
155,73,Tentacruel,80,70,65,100,120,Water,Poison,60,205,Acid,Supersonic,Wrap,,5,36,127,24,192,131,8,22,0
169,74,Geodude,40,80,100,20,30,Rock,Ground,255,86,Tackle,,,,3,161,3,15,206,46,200,34,0
39,75,Graveler,55,95,115,35,45,Rock,Ground,120,134,Tackle,DefenseCurl,,,3,161,3,15,206,46,200,34,0
49,76,Golem,80,110,130,45,55,Rock,Ground,45,177,Tackle,DefenseCurl,,,3,177,67,15,206,46,200,34,0
163,77,Ponyta,50,85,55,90,65,Fire,Fire,190,152,Ember,,,,0,224,3,8,192,227,8,2,0
164,78,Rapidash,65,100,70,105,80,Fire,Fire,60,192,Ember,TailWhip,Stomp,Growl,0,224,67,8,192,227,8,2,0
37,79,Slowpoke,90,65,65,15,40,Water,Psychic,190,99,Confusion,,,,0,160,191,8,254,227,56,115,0
8,80,Slowbro,95,75,110,30,80,Water,Psychic,75,164,Confusion,Disable,Headbutt,,0,177,255,15,254,227,56,115,0
173,81,Magnemite,25,35,70,45,95,Electric,Electric,190,89,Tackle,,,,0,32,3,136,225,67,24,66,0
54,82,Magneton,50,60,95,70,120,Electric,Electric,60,161,Tackle,Sonicboom,Thundershock,,0,32,67,136,225,67,24,66,0
64,83,Farfetchd,52,65,55,60,58,Normal,Flying,45,94,Peck,SandAttack,,,0,174,3,8,192,195,8,14,0
70,84,Doduo,35,85,45,75,35,Normal,Flying,190,96,Peck,,,,0,168,3,8,192,131,12,11,0
116,85,Dodrio,60,110,70,100,60,Normal,Flying,45,158,Peck,Growl,FuryAttack,,0,168,67,8,192,131,12,11,0
58,86,Seel,65,45,55,45,70,Water,Water,190,100,Headbutt,,,,0,224,191,8,192,130,8,50,0
120,87,Dewgong,90,70,80,70,95,Water,Ice,75,176,Headbutt,Growl,AuroraBeam,,0,224,255,8,192,130,8,50,0
13,88,Grimer,80,80,50,25,40,Poison,Poison,190,90,Pound,Disable,,,0,160,0,152,193,42,72,2,0
136,89,Muk,105,105,75,50,65,Poison,Poison,75,157,Pound,Disable,PoisonGas,,0,160,64,152,193,42,72,2,0
23,90,Shellder,30,65,100,40,45,Water,Water,190,97,Tackle,Withdraw,,,5,32,63,8,224,75,72,19,0
139,91,Cloyster,50,95,180,70,85,Water,Ice,60,203,Withdraw,Supersonic,Clamp,AuroraBeam,5,32,127,8,224,75,72,19,0
25,92,Gastly,30,35,30,80,100,Ghost,Poison,190,95,Lick,ConfuseRay,NightShade,,3,32,0,152,209,10,106,2,0
147,93,Haunter,45,50,45,95,115,Ghost,Poison,90,126,Lick,ConfuseRay,NightShade,,3,32,0,152,209,10,106,2,0
14,94,Gengar,60,65,60,110,130,Ghost,Poison,45,190,Lick,ConfuseRay,NightShade,,3,177,67,159,209,142,106,34,0
34,95,Onix,35,45,160,70,30,Rock,Ground,45,108,Tackle,Screech,,,0,160,3,8,206,138,200,34,0
48,96,Drowzee,60,48,45,42,90,Psychic,Psychic,190,102,Pound,Hypnosis,,,0,177,3,15,240,135,58,67,0
129,97,Hypno,85,73,70,67,115,Psychic,Psychic,75,165,Pound,Hypnosis,Disable,Confusion,0,177,67,15,240,135,58,67,0
78,98,Krabby,30,105,90,50,25,Water,Water,225,115,Bubble,Leer,,,0,164,63,8,192,2,8,54,0
138,99,Kingler,55,130,115,75,50,Water,Water,60,206,Bubble,Leer,Vicegrip,,0,164,127,8,192,2,8,54,0
6,100,Voltorb,40,30,50,100,55,Electric,Electric,190,103,Tackle,Screech,,,0,32,1,136,225,75,88,66,0
141,101,Electrode,60,50,70,140,80,Electric,Electric,60,150,Tackle,Screech,Sonicboom,,0,32,65,136,225,203,88,66,0
12,102,Exeggcute,60,40,80,40,60,Grass,Psychic,90,98,Barrage,Hypnosis,,,5,32,3,8,240,27,104,2,0
10,103,Exeggutor,95,95,85,55,125,Grass,Psychic,45,212,Barrage,Hypnosis,,,5,32,67,56,240,27,104,34,0
17,104,Cubone,50,50,95,35,40,Ground,Ground,190,87,BoneClub,Growl,,,0,177,63,15,206,162,8,34,0
145,105,Marowak,60,80,110,45,50,Ground,Ground,75,124,BoneClub,Growl,Leer,FocusEnergy,0,177,127,15,206,162,8,34,0
43,106,Hitmonlee,50,120,53,87,35,Fighting,Fighting,45,139,DoubleKick,Meditate,,,0,177,3,15,192,198,8,34,0
44,107,Hitmonchan,50,105,79,76,35,Fighting,Fighting,45,140,CometPunch,Agility,,,0,177,3,15,192,198,8,34,0
11,108,Lickitung,90,55,75,30,60,Normal,Normal,45,127,Wrap,Supersonic,,,0,181,127,143,199,162,8,54,0
55,109,Koffing,40,65,95,35,60,Poison,Poison,190,114,Tackle,Smog,,,0,32,0,136,193,42,72,2,0
143,110,Weezing,65,90,120,60,85,Poison,Poison,60,173,Tackle,Smog,Sludge,,0,32,64,136,193,42,72,2,0
18,111,Rhyhorn,80,85,95,25,30,Ground,Rock,120,135,HornAttack,,,,5,224,3,136,207,162,136,34,0
1,112,Rhydon,105,130,120,40,45,Ground,Rock,60,204,HornAttack,Stomp,TailWhip,FuryAttack,5,241,255,143,207,162,136,50,0
40,113,Chansey,250,5,5,50,105,Normal,Normal,30,255,Pound,Doubleslap,,,4,177,127,175,241,183,57,99,0
30,114,Tangela,65,55,115,60,100,Grass,Grass,45,166,Constrict,Bind,,,0,164,67,56,192,130,8,6,0
2,115,Kangaskhan,105,95,80,90,40,Normal,Normal,45,175,CometPunch,Rage,,,0,177,127,143,199,162,136,50,0
92,116,Horsea,30,40,70,60,70,Water,Water,225,83,Bubble,,,,0,32,63,8,192,194,8,18,0
93,117,Seadra,55,65,95,85,95,Water,Water,75,155,Bubble,Smokescreen,,,0,32,127,8,192,194,8,18,0
157,118,Goldeen,45,67,60,63,50,Water,Water,225,111,Peck,TailWhip,,,0,96,63,8,192,194,8,18,0
158,119,Seaking,80,92,65,68,80,Water,Water,60,170,Peck,TailWhip,Supersonic,,0,96,127,8,192,194,8,18,0
27,120,Staryu,30,45,55,85,70,Water,Water,225,106,Tackle,,,,5,32,63,136,241,195,56,83,0
152,121,Starmie,60,75,85,115,100,Water,Psychic,60,207,Tackle,WaterGun,Harden,,5,32,127,136,241,195,56,83,0
42,122,MrMime,40,45,65,90,100,Psychic,Psychic,45,136,Confusion,Barrier,,,0,177,67,175,241,135,56,66,0
26,123,Scyther,70,110,80,105,55,Bug,Flying,45,187,QuickAttack,,,,0,36,67,8,192,194,8,6,0
72,124,Jynx,65,50,35,95,95,Ice,Psychic,45,137,Pound,LovelyKiss,,,0,177,127,15,240,135,40,2,0
53,125,Electabuzz,65,83,57,105,85,Electric,Electric,45,156,QuickAttack,Leer,,,0,177,67,143,241,199,56,98,0
51,126,Magmar,65,95,57,93,85,Fire,Fire,45,167,Ember,,,,0,177,67,15,240,166,40,34,0
29,127,Pinsir,65,125,100,85,55,Bug,Bug,45,200,Vicegrip,,,,5,164,67,13,192,2,8,38,0
60,128,Tauros,75,100,95,110,70,Normal,Normal,45,211,Tackle,,,,5,224,115,136,199,162,8,34,0
133,129,Magikarp,20,10,55,80,20,Water,Water,255,20,Splash,,,,5,0,0,0,0,0,0,0,0
22,130,Gyarados,95,125,79,81,100,Water,Flying,45,214,Bite,DragonRage,Leer,HydroPump,5,160,127,200,193,163,8,50,0
19,131,Lapras,130,85,80,60,95,Water,Ice,45,219,WaterGun,Growl,,,5,224,127,232,209,131,40,50,0
76,132,Ditto,48,48,48,48,48,Normal,Normal,35,61,Transform,,,,0,0,0,0,0,0,0,0,0
102,133,Eevee,55,55,50,55,65,Normal,Normal,45,92,Tackle,SandAttack,,,0,160,3,8,192,195,8,2,0
105,134,Vaporeon,130,65,60,65,110,Water,Water,45,196,Tackle,SandAttack,QuickAttack,WaterGun,0,160,127,8,192,195,8,18,0
104,135,Jolteon,65,65,60,130,110,Electric,Electric,45,197,Tackle,SandAttack,QuickAttack,Thundershock,0,160,67,136,193,195,24,66,0
103,136,Flareon,65,130,60,65,110,Fire,Fire,45,198,Tackle,SandAttack,QuickAttack,Ember,0,160,67,8,192,227,8,2,0
170,137,Porygon,65,60,70,40,75,Normal,Normal,45,130,Tackle,Sharpen,Conversion,,0,32,115,136,241,195,56,67,0
98,138,Omanyte,35,40,100,35,90,Rock,Water,45,120,WaterGun,Withdraw,,,0,160,63,8,192,3,8,18,0
99,139,Omastar,70,60,125,55,115,Rock,Water,45,199,WaterGun,Withdraw,HornAttack,,0,224,127,13,192,131,8,18,0
90,140,Kabuto,30,80,90,55,45,Rock,Water,45,119,Scratch,Harden,,,0,160,63,8,192,3,8,18,0
91,141,Kabutops,60,115,105,80,70,Rock,Water,45,201,Scratch,Harden,Absorb,,0,182,127,13,192,131,8,18,0
171,142,Aerodactyl,80,105,65,130,60,Rock,Flying,45,202,WingAttack,Agility,,,5,42,67,72,192,99,12,10,0
132,143,Snorlax,160,110,65,30,65,Normal,Normal,25,154,Headbutt,Amnesia,Rest,,5,177,255,175,215,175,168,50,0
74,144,Articuno,90,85,100,85,125,Ice,Flying,3,215,Peck,IceBeam,,,5,42,127,8,192,67,12,10,0
75,145,Zapdos,90,90,85,100,125,Electric,Flying,3,216,Thundershock,DrillPeck,,,5,42,67,136,193,67,28,74,0
73,146,Moltres,90,100,90,90,125,Fire,Flying,3,217,Peck,FireSpin,,,5,42,67,8,192,99,12,10,0
88,147,Dratini,41,64,45,50,50,Dragon,Dragon,45,67,Wrap,Leer,,,5,160,63,200,193,227,24,18,0
89,148,Dragonair,61,84,65,70,70,Dragon,Dragon,45,144,Wrap,Leer,ThunderWave,,5,224,63,200,193,227,24,18,0
66,149,Dragonite,91,134,95,80,100,Dragon,Flying,45,218,Wrap,Leer,ThunderWave,Agility,5,226,127,200,193,227,24,50,0
131,150,Mewtwo,106,110,90,130,154,Psychic,Psychic,3,220,Confusion,Disable,Swift,PsychicM,5,177,255,175,241,175,56,99,0
21,151,Mew,100,100,100,100,100,Psychic,Psychic,45,64,Pound,,,,3,255,255,255,255,255,255,255,255
31,,MissingNo0x1F,,,,,,,,,,,,,,,,,,,,,,
32,,MissingNo0x20,,,,,,,,,,,,,,,,,,,,,,
50,,MissingNo0x32,,,,,,,,,,,,,,,,,,,,,,
52,,MissingNo0x34,,,,,,,,,,,,,,,,,,,,,,
56,,MissingNo0x38,,,,,,,,,,,,,,,,,,,,,,
61,,MissingNo0x3D,,,,,,,,,,,,,,,,,,,,,,
62,,MissingNo0x3E,,,,,,,,,,,,,,,,,,,,,,
63,,MissingNo0x3F,,,,,,,,,,,,,,,,,,,,,,
67,,MissingNo0x43,,,,,,,,,,,,,,,,,,,,,,
68,,MissingNo0x44,,,,,,,,,,,,,,,,,,,,,,
69,,MissingNo0x45,,,,,,,,,,,,,,,,,,,,,,
79,,MissingNo0x4F,,,,,,,,,,,,,,,,,,,,,,
80,,MissingNo0x50,,,,,,,,,,,,,,,,,,,,,,
81,,MissingNo0x51,,,,,,,,,,,,,,,,,,,,,,
86,,MissingNo0x56,,,,,,,,,,,,,,,,,,,,,,
87,,MissingNo0x57,,,,,,,,,,,,,,,,,,,,,,
94,,MissingNo0x5E,,,,,,,,,,,,,,,,,,,,,,
95,,MissingNo0x5F,,,,,,,,,,,,,,,,,,,,,,
115,,MissingNo0x73,,,,,,,,,,,,,,,,,,,,,,
121,,MissingNo0x79,,,,,,,,,,,,,,,,,,,,,,
122,,MissingNo0x7A,,,,,,,,,,,,,,,,,,,,,,
127,,MissingNo0x7F,,,,,,,,,,,,,,,,,,,,,,
134,,MissingNo0x86,,,,,,,,,,,,,,,,,,,,,,
135,,MissingNo0x87,,,,,,,,,,,,,,,,,,,,,,
138,,MissingNo0x8A,,,,,,,,,,,,,,,,,,,,,,
140,,MissingNo0x8C,,,,,,,,,,,,,,,,,,,,,,
146,,MissingNo0x92,,,,,,,,,,,,,,,,,,,,,,
156,,MissingNo0x9C,,,,,,,,,,,,,,,,,,,,,,
159,,MissingNo0x9F,,,,,,,,,,,,,,,,,,,,,,
160,,MissingNo0xA0,,,,,,,,,,,,,,,,,,,,,,
161,,MissingNo0xA1,,,,,,,,,,,,,,,,,,,,,,
162,,MissingNo0xA2,,,,,,,,,,,,,,,,,,,,,,
172,,MissingNo0xAC,,,,,,,,,,,,,,,,,,,,,,
174,,MissingNo0xAE,,,,,,,,,,,,,,,,,,,,,,
175,,MissingNo0xAF,,,,,,,,,,,,,,,,,,,,,,
181,,MissingNo0xB5,,,,,,,,,,,,,,,,,,,,,,
182,,FossilKabutops,,,,,,,,,,,,,,,,,,,,,,
183,,FossilAerodactyl,,,,,,,,,,,,,,,,,,,,,,
184,,MonGhost,,,,,,,,,,,,,,,,,,,,,,
