id,name,display_name,price,use_function,parameter,is_key
162,Unknown0xA2,,0,,,false
163,Unknown0xA3,,0,,,false
164,Unknown0xA4,,0,,,false
165,Unknown0xA5,,0,,,false
166,Unknown0xA6,,0,,,false
167,Unknown0xA7,,0,,,false
168,Unknown0xA8,,0,,,false
169,Unknown0xA9,,0,,,false
170,Unknown0xAA,,0,,,false
171,Unknown0xAB,,0,,,false
172,Unknown0xAC,,0,,,false
173,Unknown0xAD,,0,,,false
174,Unknown0xAE,,0,,,false
175,Unknown0xAF,,0,,,false
176,Unknown0xB0,,0,,,false
177,Unknown0xB1,,0,,,false
178,Unknown0xB2,,0,,,false
179,Unknown0xB3,,0,,,false
180,Unknown0xB4,,0,,,false
181,Unknown0xB5,,0,,,false
182,Unknown0xB6,,0,,,false
183,Unknown0xB7,,0,,,false
184,Unknown0xB8,,0,,,false
185,Unknown0xB9,,0,,,false
186,Unknown0xBA,,0,,,false
187,Unknown0xBB,,0,,,false
188,Unknown0xBC,,0,,,false
189,Unknown0xBD,,0,,,false
190,Unknown0xBE,,0,,,false
191,Unknown0xBF,,0,,,false
192,Unknown0xC0,,0,,,false
193,Unknown0xC1,,0,,,false
194,Unknown0xC2,,0,,,false
195,Unknown0xC3,,0,,,false
196,Hm01,HM01,0,ItemUseHm,,true
197,Hm02,HM02,0,ItemUseHm,,true
198,Hm03,HM03,0,ItemUseHm,,true
199,Hm04,HM04,0,ItemUseHm,,true
200,Hm05,HM05,0,ItemUseHm,,true
201,Tm01,TM01,1500,ItemUseTm,,false
202,Tm02,TM02,1000,ItemUseTm,,false
203,Tm03,TM03,1000,ItemUseTm,,false
204,Tm04,TM04,500,ItemUseTm,,false
205,Tm05,TM05,1500,ItemUseTm,,false
206,Tm06,TM06,2000,ItemUseTm,,false
207,Tm07,TM07,1000,ItemUseTm,,false
208,Tm08,TM08,2000,ItemUseTm,,false
209,Tm09,TM09,1500,ItemUseTm,,false
210,Tm10,TM10,2000,ItemUseTm,,false
211,Tm11,TM11,1000,ItemUseTm,,false
212,Tm12,TM12,500,ItemUseTm,,false
213,Tm13,TM13,2000,ItemUseTm,,false
214,Tm14,TM14,2500,ItemUseTm,,false
215,Tm15,TM15,2500,ItemUseTm,,false
216,Tm16,TM16,2500,ItemUseTm,,false
217,Tm17,TM17,1500,ItemUseTm,,false
218,Tm18,TM18,1000,ItemUseTm,,false
219,Tm19,TM19,1500,ItemUseTm,,false
220,Tm20,TM20,1000,ItemUseTm,,false
221,Tm21,TM21,2500,ItemUseTm,,false
222,Tm22,TM22,2500,ItemUseTm,,false
223,Tm23,TM23,2500,ItemUseTm,,false
224,Tm24,TM24,1000,ItemUseTm,,false
225,Tm25,TM25,2500,ItemUseTm,,false
226,Tm26,TM26,2000,ItemUseTm,,false
227,Tm27,TM27,2500,ItemUseTm,,false
228,Tm28,TM28,1000,ItemUseTm,,false
229,Tm29,TM29,2000,ItemUseTm,,false
230,Tm30,TM30,500,ItemUseTm,,false
231,Tm31,TM31,1000,ItemUseTm,,false
232,Tm32,TM32,500,ItemUseTm,,false
233,Tm33,TM33,500,ItemUseTm,,false
234,Tm34,TM34,1000,ItemUseTm,,false
235,Tm35,TM35,2000,ItemUseTm,,false
236,Tm36,TM36,1000,ItemUseTm,,false
237,Tm37,TM37,1000,ItemUseTm,,false
238,Tm38,TM38,2500,ItemUseTm,,false
239,Tm39,TM39,1000,ItemUseTm,,false
240,Tm40,TM40,2000,ItemUseTm,,false
241,Tm41,TM41,1000,ItemUseTm,,false
242,Tm42,TM42,1000,ItemUseTm,,false
243,Tm43,TM43,2500,ItemUseTm,,false
244,Tm44,TM44,1000,ItemUseTm,,false
245,Tm45,TM45,1000,ItemUseTm,,false
246,Tm46,TM46,2000,ItemUseTm,,false
247,Tm47,TM47,1500,ItemUseTm,,false
248,Tm48,TM48,2000,ItemUseTm,,false
249,Tm49,TM49,2000,ItemUseTm,,false
250,Tm50,TM50,1000,ItemUseTm,,false
251,Unknown0xFB,,0,,,false
252,Unknown0xFC,,0,,,false
253,Unknown0xFD,,0,,,false
254,Unknown0xFE,,0,,,false
255,Unknown0xFF,,0,,,false
