species,gray00,gray55,grayAA,grayFF
Magmar,#000000,#C52173,#FF73F7,#FFFFFF
Pinsir,#000000,#5A5A7B,#BDBD4A,#FFFFFF
Tauros,#000000,#4A7352,#F7DE73,#FFFFFF
Magikarp,#000000,#848400,#CEC500,#FFFFFF
Gyarados,#000000,#DE5229,#CEA542,#FFFFFF
Lapras,#000000,#845AFF,#FF6BFF,#FFFFFF
Ditto,#000000,#4A63DE,#8CB5E6,#FFFFFF
Eevee,#000000,#63736B,#9C9CAD,#FFFFFF
Vaporeon,#000000,#7B52C5,#DEADFF,#FFFFFF
Jolteon,#000000,#7B7B31,#CEB500,#FFFFFF
Flareon,#000000,#C54A00,#F78C08,#FFFFFF
Porygon,#000000,#635ACE,#7319DE,#FFFFFF
Omanyte,#000000,#635A5A,#BD9C52,#FFFFFF
Omastar,#000000,#635A7B,#CEE610,#FFFFFF
Kabuto,#000000,#739452,#BDC5A5,#FFFFFF
Kabutops,#000000,#527B52,#9CA55A,#FFFFFF
Aerodactyl,#000000,#634AAD,#B54ABD,#FFFFFF
Snorlax,#000000,#4A3AFF,#DEB55A,#FFFFFF
Articuno,#000000,#6B6BB5,#9CD6FF,#FFFFFF
Zapdos,#000000,#FF2100,#FF9C00,#FFFFFF
Moltres,#000000,#AD0800,#FF5A73,#FFFFFF
Dratini,#000000,#735AC5,#AD9CC5,#FFFFFF
Dragonair,#000000,#A57BFF,#AD9CFF,#FFFFFF
Dragonite,#000000,#9C0073,#8C9C73,#FFFFFF
Mewtwo,#000000,#7B7B00,#9CADB5,#FFFFFF
Mew,#000000,#3A5AD6,#94C5FF,#FFFFFF
