id,name,object_name,type,x,y,param1,param2,param3,param4,param5,param6,param7
129,CeladonGameCornerObject,,hidden,13,11,208,StartSlotMachine,,,,,
130,CeladonGameCornerObject,,hidden,13,12,254,StartSlotMachine,,,,,
131,CeladonGameCornerObject,,hidden,13,13,208,StartSlotMachine,,,,,
132,CeladonGameCornerObject,,hidden,13,14,208,StartSlotMachine,,,,,
133,CeladonGameCornerObject,,hidden,13,15,208,StartSlotMachine,,,,,
134,CeladonGameCornerObject,,hidden,12,15,208,StartSlotMachine,,,,,
135,CeladonGameCornerObject,,hidden,12,14,208,StartSlotMachine,,,,,
136,CeladonGameCornerObject,,hidden,12,13,208,StartSlotMachine,,,,,
137,CeladonGameCornerObject,,hidden,12,12,208,StartSlotMachine,,,,,
138,CeladonGameCornerObject,,hidden,12,11,208,StartSlotMachine,,,,,
139,CeladonGameCornerObject,,hidden,12,10,208,StartSlotMachine,,,,,
140,CeladonGameCornerObject,,hidden,7,10,208,StartSlotMachine,,,,,
141,CeladonGameCornerObject,,hidden,7,11,208,StartSlotMachine,,,,,
142,CeladonGameCornerObject,,hidden,7,12,208,StartSlotMachine,,,,,
143,CeladonGameCornerObject,,hidden,7,13,208,StartSlotMachine,,,,,
144,CeladonGameCornerObject,,hidden,7,14,208,StartSlotMachine,,,,,
145,CeladonGameCornerObject,,hidden,7,15,208,StartSlotMachine,,,,,
146,CeladonGameCornerObject,,hidden,6,15,208,StartSlotMachine,,,,,
147,CeladonGameCornerObject,,hidden,6,14,208,StartSlotMachine,,,,,
148,CeladonGameCornerObject,,hidden,6,13,208,StartSlotMachine,,,,,
149,CeladonGameCornerObject,,hidden,6,12,253,StartSlotMachine,,,,,
150,CeladonGameCornerObject,,hidden,6,11,208,StartSlotMachine,,,,,
151,CeladonGameCornerObject,,hidden,6,10,208,StartSlotMachine,,,,,
152,CeladonGameCornerObject,,hidden,1,10,208,StartSlotMachine,,,,,
153,CeladonGameCornerObject,,hidden,1,11,208,StartSlotMachine,,,,,
154,CeladonGameCornerObject,,hidden,1,12,208,StartSlotMachine,,,,,
155,CeladonGameCornerObject,,hidden,1,13,208,StartSlotMachine,,,,,
156,CeladonGameCornerObject,,hidden,1,14,208,StartSlotMachine,,,,,
157,CeladonGameCornerObject,,hidden,1,15,208,StartSlotMachine,,,,,
158,CeladonGameCornerObject,,hidden,0,8,10,HiddenCoins,,,,,
159,CeladonGameCornerObject,,hidden,1,16,10,HiddenCoins,,,,,
160,CeladonGameCornerObject,,hidden,3,11,20,HiddenCoins,,,,,
161,CeladonGameCornerObject,,hidden,3,14,10,HiddenCoins,,,,,
162,CeladonGameCornerObject,,hidden,4,12,10,HiddenCoins,,,,,
163,CeladonGameCornerObject,,hidden,9,12,20,HiddenCoins,,,,,
164,CeladonGameCornerObject,,hidden,9,15,10,HiddenCoins,,,,,
165,CeladonGameCornerObject,,hidden,16,14,10,HiddenCoins,,,,,
166,CeladonGameCornerObject,,hidden,10,16,10,HiddenCoins,,,,,
167,CeladonGameCornerObject,,hidden,11,7,40,HiddenCoins,,,,,
168,CeladonGameCornerObject,,hidden,15,8,100,HiddenCoins,,,,,
169,CeladonGameCornerObject,,hidden,12,15,10,HiddenCoins,,,,,
170,CeladonGymObject,,warp,4,17,0,var:LastOutdoorsMap,6,,,,
171,CeladonGymObject,,warp,5,17,1,var:LastOutdoorsMap,6,,,,
172,CeladonGymObject,,trainer,4,3,ErikaSprite,Down,false,0,1,OppErika,1
173,CeladonGymObject,,trainer,2,11,LassSprite,Right,false,0,2,OppLass,17
174,CeladonGymObject,,trainer,7,10,FoulardWomanSprite,Left,false,0,3,OppBeauty,1
175,CeladonGymObject,,trainer,9,5,LassSprite,Down,false,0,4,OppJrTrainerF,11
176,CeladonGymObject,,trainer,1,5,FoulardWomanSprite,Down,false,0,5,OppBeauty,2
177,CeladonGymObject,,trainer,6,3,LassSprite,Down,false,0,6,OppLass,18
178,CeladonGymObject,,trainer,3,3,FoulardWomanSprite,Down,false,0,7,OppBeauty,3
179,CeladonGymObject,,trainer,5,3,LassSprite,Down,false,0,8,OppCooltrainerF,1
180,CeladonGymObject,,event_disp,17,4,,,,,,,
181,CeladonGymObject,,event_disp,17,5,,,,,,,
182,CeladonGymObject,,hidden,3,15,4,GymStatues,,,,,
183,CeladonGymObject,,hidden,6,15,4,GymStatues,,,,,
184,CeladonHotelObject,,warp,3,7,0,var:LastOutdoorsMap,12,,,,
185,CeladonHotelObject,,warp,4,7,1,var:LastOutdoorsMap,12,,,,
186,CeladonHotelObject,,npc,3,1,OldMediumWomanSprite,Down,false,0,1,,
187,CeladonHotelObject,,npc,2,4,FoulardWomanSprite,None,false,0,2,,
188,CeladonHotelObject,,npc,8,4,BlackHairBoy2Sprite,,true,2,3,,
189,CeladonHotelObject,,event_disp,7,3,,,,,,,
190,CeladonHotelObject,,event_disp,7,4,,,,,,,
191,CeladonHotelObject,,hidden,13,3,4,OpenPokemonCenterPC,,,,,
192,CeladonHotelObject,,hidden,0,4,8,PrintBenchGuyText,,,,,
193,CeladonHouseObject,,warp,2,7,0,var:LastOutdoorsMap,11,,,,
194,CeladonHouseObject,,warp,3,7,1,var:LastOutdoorsMap,11,,,,
195,CeladonHouseObject,,npc,4,2,OldPersonSprite,Down,false,0,1,,
196,CeladonHouseObject,,npc,1,4,RocketSprite,,true,0,2,,
197,CeladonHouseObject,,npc,5,6,SailorSprite,Left,false,0,3,,
198,CeladonHouseObject,,event_disp,7,2,,,,,,,
199,CeladonHouseObject,,event_disp,7,3,,,,,,,
200,CeladonMansion1Object,,warp,4,11,0,var:LastOutdoorsMap,2,,,,
201,CeladonMansion1Object,,warp,5,11,1,var:LastOutdoorsMap,2,,,,
202,CeladonMansion1Object,,warp,4,0,2,var:LastOutdoorsMap,4,,,,
203,CeladonMansion1Object,,warp,7,1,3,CeladonMansion2,1,,,,
204,CeladonMansion1Object,,warp,2,1,4,CeladonMansion2,2,,,,
205,CeladonMansion1Object,,sign,4,9,5,,,,,,
206,CeladonMansion1Object,,npc,0,5,SlowbroSprite,Right,false,0,1,,
207,CeladonMansion1Object,,npc,1,5,OldMediumWomanSprite,Down,false,0,2,,
208,CeladonMansion1Object,,npc,1,8,ClefairySprite,,true,2,3,,
209,CeladonMansion1Object,,npc,4,4,SlowbroSprite,,true,1,4,,
210,CeladonMansion1Object,,event_disp,11,4,,,,,,,
211,CeladonMansion1Object,,event_disp,11,5,,,,,,,
212,CeladonMansion1Object,,event_disp,0,4,,,,,,,
213,CeladonMansion1Object,,event_disp,1,7,,,,,,,
214,CeladonMansion1Object,,event_disp,1,2,,,,,,,
215,CeladonMansion2Object,,warp,6,1,0,CeladonMansion3,0,,,,
216,CeladonMansion2Object,,warp,7,1,1,CeladonMansion1,3,,,,
217,CeladonMansion2Object,,warp,2,1,2,CeladonMansion1,4,,,,
218,CeladonMansion2Object,,warp,4,1,3,CeladonMansion3,3,,,,
219,CeladonMansion2Object,,sign,4,9,1,,,,,,
220,CeladonMansion2Object,,event_disp,1,6,,,,,,,
221,CeladonMansion2Object,,event_disp,1,7,,,,,,,
222,CeladonMansion2Object,,event_disp,1,2,,,,,,,
223,CeladonMansion2Object,,event_disp,1,4,,,,,,,
224,CeladonMansion2Object,,hidden,0,5,4,OpenPokemonCenterPC,,,,,
225,CeladonMansion3Object,,warp,6,1,0,CeladonMansion2,0,,,,
226,CeladonMansion3Object,,warp,7,1,1,CeladonMansion4,0,,,,
227,CeladonMansion3Object,,warp,2,1,2,CeladonMansion4,1,,,,
228,CeladonMansion3Object,,warp,4,1,3,CeladonMansion2,3,,,,
229,CeladonMansion3Object,,sign,1,3,5,,,,,,
230,CeladonMansion3Object,,sign,4,3,6,,,,,,
231,CeladonMansion3Object,,sign,1,6,7,,,,,,
232,CeladonMansion3Object,,sign,4,9,8,,,,,,
233,CeladonMansion3Object,,npc,0,4,BikeShopGuySprite,Up,false,0,1,,
234,CeladonMansion3Object,,npc,3,4,MartGuySprite,Up,false,0,2,,
235,CeladonMansion3Object,,npc,0,7,BlackHairBoy2Sprite,Up,false,0,3,,
236,CeladonMansion3Object,,npc,2,3,LaprasGiverSprite,None,false,0,4,,
237,CeladonMansion3Object,,event_disp,1,6,,,,,,,
238,CeladonMansion3Object,,event_disp,1,7,,,,,,,
239,CeladonMansion3Object,,event_disp,1,2,,,,,,,
240,CeladonMansion3Object,,event_disp,1,4,,,,,,,
241,CeladonMansion4Object,,warp,6,1,0,CeladonMansion3,1,,,,
242,CeladonMansion4Object,,warp,2,1,1,CeladonMansion3,2,,,,
243,CeladonMansion4Object,,warp,2,7,2,CeladonMansion5,0,,,,
244,CeladonMansion4Object,,sign,3,7,1,,,,,,
245,CeladonMansion4Object,,event_disp,1,6,,,,,,,
246,CeladonMansion4Object,,event_disp,1,2,,,,,,,
247,CeladonMansion4Object,,event_disp,7,2,,,,,,,
248,CeladonMansion5Object,,warp,2,7,0,CeladonMansion4,2,,,,
249,CeladonMansion5Object,,warp,3,7,1,CeladonMansion4,2,,,,
250,CeladonMansion5Object,,npc,2,2,HikerSprite,Down,false,0,1,,
251,CeladonMansion5Object,,npc,4,3,BallSprite,None,false,0,2,,
252,CeladonMansion5Object,,event_disp,7,2,,,,,,,
253,CeladonMansion5Object,,event_disp,7,3,,,,,,,
254,CeladonMansion5Object,,hidden,3,0,27,PrintBlackboardLinkCableText,,,,,
255,CeladonMansion5Object,,hidden,4,0,27,PrintBlackboardLinkCableText,,,,,
256,CeladonMansion5Object,,hidden,3,4,27,PrintNotebookText,,,,,
257,CeladonMart1Object,,warp,2,7,0,var:LastOutdoorsMap,0,,,,
258,CeladonMart1Object,,warp,3,7,1,var:LastOutdoorsMap,0,,,,
259,CeladonMart1Object,,warp,16,7,2,var:LastOutdoorsMap,1,,,,
260,CeladonMart1Object,,warp,17,7,3,var:LastOutdoorsMap,1,,,,
261,CeladonMart1Object,,warp,12,1,4,CeladonMart2,0,,,,
262,CeladonMart1Object,,warp,1,1,5,CeladonMartElevator,0,,,,
263,CeladonMart1Object,,sign,11,4,2,,,,,,
264,CeladonMart1Object,,sign,14,1,3,,,,,,
265,CeladonMart1Object,,npc,8,3,CableClubWomanSprite,Down,false,0,1,,
266,CeladonMart1Object,,event_disp,7,2,,,,,,,
267,CeladonMart1Object,,event_disp,7,3,,,,,,,
268,CeladonMart1Object,,event_disp,7,16,,,,,,,
269,CeladonMart1Object,,event_disp,7,17,,,,,,,
270,CeladonMart1Object,,event_disp,1,12,,,,,,,
271,CeladonMart1Object,,event_disp,1,1,,,,,,,
272,CeladonMart2Object,,warp,12,1,0,CeladonMart1,4,,,,
273,CeladonMart2Object,,warp,16,1,1,CeladonMart3,1,,,,
274,CeladonMart2Object,,warp,1,1,2,CeladonMartElevator,0,,,,
275,CeladonMart2Object,,sign,14,1,5,,,,,,
276,CeladonMart2Object,,npc,5,3,MartGuySprite,Down,false,0,1,,
277,CeladonMart2Object,,npc,6,3,MartGuySprite,Down,false,0,2,,
278,CeladonMart2Object,,npc,19,5,FatBaldGuySprite,None,false,0,3,,
279,CeladonMart2Object,,npc,14,4,GirlSprite,,true,1,4,,
280,CeladonMart2Object,,event_disp,1,12,,,,,,,
281,CeladonMart2Object,,event_disp,1,16,,,,,,,
282,CeladonMart2Object,,event_disp,1,1,,,,,,,
283,CeladonMart3Object,,warp,12,1,0,CeladonMart4,0,,,,
284,CeladonMart3Object,,warp,16,1,1,CeladonMart2,1,,,,
285,CeladonMart3Object,,warp,1,1,2,CeladonMartElevator,0,,,,
286,CeladonMart3Object,,sign,2,4,6,,,,,,
287,CeladonMart3Object,,sign,3,4,7,,,,,,
288,CeladonMart3Object,,sign,5,4,8,,,,,,
289,CeladonMart3Object,,sign,6,4,9,,,,,,
290,CeladonMart3Object,,sign,2,6,10,,,,,,
291,CeladonMart3Object,,sign,3,6,11,,,,,,
292,CeladonMart3Object,,sign,5,6,12,,,,,,
293,CeladonMart3Object,,sign,6,6,13,,,,,,
294,CeladonMart3Object,,sign,14,1,14,,,,,,
295,CeladonMart3Object,,sign,4,1,15,,,,,,
296,CeladonMart3Object,,sign,6,1,16,,,,,,
297,CeladonMart3Object,,sign,10,1,17,,,,,,
298,CeladonMart3Object,,npc,16,5,MartGuySprite,None,false,0,1,,
299,CeladonMart3Object,,npc,11,6,GameboyKidSprite,Right,false,0,2,,
300,CeladonMart3Object,,npc,7,2,GameboyKidSprite,Down,false,0,3,,
301,CeladonMart3Object,,npc,8,2,GameboyKidSprite,Down,false,0,4,,
302,CeladonMart3Object,,npc,2,5,YoungBoySprite,Up,false,0,5,,
303,CeladonMart3Object,,event_disp,1,12,,,,,,,
304,CeladonMart3Object,,event_disp,1,16,,,,,,,
305,CeladonMart3Object,,event_disp,1,1,,,,,,,
306,CeladonMart4Object,,warp,12,1,0,CeladonMart3,0,,,,
307,CeladonMart4Object,,warp,16,1,1,CeladonMart5,1,,,,
308,CeladonMart4Object,,warp,1,1,2,CeladonMartElevator,0,,,,
309,CeladonMart4Object,,sign,14,1,4,,,,,,
310,CeladonMart4Object,,npc,5,7,MartGuySprite,None,false,0,1,,
311,CeladonMart4Object,,npc,15,5,BlackHairBoy2Sprite,,true,2,2,,
312,CeladonMart4Object,,npc,5,2,BugCatcherSprite,,true,2,3,,
313,CeladonMart4Object,,event_disp,1,12,,,,,,,
314,CeladonMart4Object,,event_disp,1,16,,,,,,,
315,CeladonMart4Object,,event_disp,1,1,,,,,,,
316,CeladonMart5Object,,warp,12,1,0,CeladonMartRoof,0,,,,
317,CeladonMart5Object,,warp,16,1,1,CeladonMart4,1,,,,
318,CeladonMart5Object,,warp,1,1,2,CeladonMartElevator,0,,,,
319,CeladonMart5Object,,sign,14,1,5,,,,,,
320,CeladonMart5Object,,npc,14,5,GentlemanSprite,,true,1,1,,
321,CeladonMart5Object,,npc,2,6,SailorSprite,None,false,0,2,,
322,CeladonMart5Object,,npc,5,3,MartGuySprite,Down,false,0,3,,
323,CeladonMart5Object,,npc,6,3,MartGuySprite,Down,false,0,4,,
324,CeladonMart5Object,,event_disp,1,12,,,,,,,
325,CeladonMart5Object,,event_disp,1,16,,,,,,,
326,CeladonMart5Object,,event_disp,1,1,,,,,,,
327,CeladonMartElevatorObject,,warp,1,3,0,var:CeladonMartElevatorObjectCurrentFloor,5,,,,
328,CeladonMartElevatorObject,,warp,2,3,1,var:CeladonMartElevatorObjectCurrentFloor,5,,,,
329,CeladonMartElevatorObject,,sign,3,0,1,,,,,,
330,CeladonMartElevatorObject,,event_disp,3,1,,,,,,,
331,CeladonMartElevatorObject,,event_disp,3,2,,,,,,,
332,CeladonMartRoofObject,,warp,15,2,0,CeladonMart5,0,,,,
333,CeladonMartRoofObject,,sign,10,1,3,,,,,,
334,CeladonMartRoofObject,,sign,11,1,4,,,,,,
335,CeladonMartRoofObject,,sign,12,2,5,,,,,,
336,CeladonMartRoofObject,,sign,13,2,6,,,,,,
337,CeladonMartRoofObject,,npc,10,4,BlackHairBoy2Sprite,Left,false,0,1,,
338,CeladonMartRoofObject,,npc,5,5,LittleGirlSprite,,true,0,2,,
339,CeladonMartRoofObject,,event_disp,2,15,,,,,,,
340,CeladonPokecenterObject,,warp,3,7,0,var:LastOutdoorsMap,5,,,,
341,CeladonPokecenterObject,,warp,4,7,1,var:LastOutdoorsMap,5,,,,
342,CeladonPokecenterObject,,npc,3,1,NurseSprite,Down,false,0,1,,
343,CeladonPokecenterObject,,npc,7,3,GentlemanSprite,,true,2,2,,
344,CeladonPokecenterObject,,npc,10,5,FoulardWomanSprite,,true,0,3,,
345,CeladonPokecenterObject,,npc,11,2,CableClubWomanSprite,Down,false,0,4,,
346,CeladonPokecenterObject,,event_disp,7,3,,,,,,,
347,CeladonPokecenterObject,,event_disp,7,4,,,,,,,
348,CeladonPokecenterObject,,hidden,0,4,8,PrintBenchGuyText,,,,,
349,CeladonPokecenterObject,,hidden,13,3,4,OpenPokemonCenterPC,,,,,
350,CeladonPrizeRoomObject,,warp,4,7,0,var:LastOutdoorsMap,9,,,,
351,CeladonPrizeRoomObject,,warp,5,7,1,var:LastOutdoorsMap,9,,,,
352,CeladonPrizeRoomObject,,sign,2,2,3,,,,,,
353,CeladonPrizeRoomObject,,sign,4,2,4,,,,,,
354,CeladonPrizeRoomObject,,sign,6,2,5,,,,,,
355,CeladonPrizeRoomObject,,npc,1,4,BaldingGuySprite,None,false,0,1,,
356,CeladonPrizeRoomObject,,npc,7,3,GamblerSprite,,true,2,2,,
357,CeladonPrizeRoomObject,,event_disp,7,4,,,,,,,
358,CeladonPrizeRoomObject,,event_disp,7,5,,,,,,,
359,CeruleanCityObject,,warp,27,11,0,CeruleanHouseTrashed,0,,,,
360,CeruleanCityObject,,warp,13,15,1,CeruleanHouse1,0,,,,
361,CeruleanCityObject,,warp,19,17,2,CeruleanPokecenter,0,,,,
362,CeruleanCityObject,,warp,30,19,3,CeruleanGym,0,,,,
363,CeruleanCityObject,,warp,13,25,4,BikeShop,0,,,,
364,CeruleanCityObject,,warp,25,25,5,CeruleanMart,0,,,,
365,CeruleanCityObject,,warp,4,11,6,UnknownDungeon1,0,,,,
366,CeruleanCityObject,,warp,27,9,7,CeruleanHouseTrashed,2,,,,
367,CeruleanCityObject,,warp,9,11,8,CeruleanHouse2,1,,,,
368,CeruleanCityObject,,warp,9,9,9,CeruleanHouse2,0,,,,
369,CeruleanCityObject,,sign,23,19,12,,,,,,
370,CeruleanCityObject,,sign,17,29,13,,,,,,
371,CeruleanCityObject,,sign,26,25,14,,,,,,
372,CeruleanCityObject,,sign,20,17,15,,,,,,
373,CeruleanCityObject,,sign,11,25,16,,,,,,
374,CeruleanCityObject,,sign,27,21,17,,,,,,
375,CeruleanCityObject,,npc,20,2,BlueSprite,Down,false,0,1,,
376,CeruleanCityObject,,trainer,30,8,RocketSprite,None,false,0,2,OppRocket,5
377,CeruleanCityObject,,npc,31,20,BlackHairBoy1Sprite,Down,false,0,3,,
378,CeruleanCityObject,,npc,15,18,BlackHairBoy2Sprite,,true,1,4,,
379,CeruleanCityObject,,npc,9,21,BlackHairBoy2Sprite,,true,2,5,,
380,CeruleanCityObject,,npc,28,12,GuardSprite,Down,false,0,6,,
381,CeruleanCityObject,,npc,29,26,LassSprite,Left,false,0,7,,
382,CeruleanCityObject,,npc,28,26,SlowbroSprite,Down,false,0,8,,
383,CeruleanCityObject,,npc,9,27,LassSprite,,true,2,9,,
384,CeruleanCityObject,,npc,4,12,BlackHairBoy2Sprite,Down,false,0,10,,
385,CeruleanCityObject,,npc,27,12,GuardSprite,Down,false,0,11,,
386,CeruleanCityObject,,event_disp,11,27,,,,,,,
387,CeruleanCityObject,,event_disp,15,13,,,,,,,
388,CeruleanCityObject,,event_disp,17,19,,,,,,,
389,CeruleanCityObject,,event_disp,19,30,,,,,,,
390,CeruleanCityObject,,event_disp,25,13,,,,,,,
391,CeruleanCityObject,,event_disp,25,25,,,,,,,
