name,data
CeladonHouseMapData,MDAvEhIvMDALCw4jIw4LCwsLCwsLCwsLCwsQFBQVCwsLCx0gICILCwsLCwsLCwsLJSULCwsLJSUmJgMDCwsmJg==
CeladonMansion1MapData,CQkwMDEoMDAJCQYBASgBBissEiwrJwEBCw4jDgsoAQELCwsLCygBAQsLCwsLKAEBEBULCwooAQEdIgsLASkBAQsLCwsBAQEBKysrKyotAQEBAQEBAQEBAQEBAQEDAwEB
CeladonMansion2MapData,CQkwMDAoMDAJCQUBBigGBRERERERJwEBDg4ODg4oAQELCwsLCygBAQ8bCwsLKAEBAjILJSUoAQEZCwsmJikBASQLCwsBAQEBKysrKyotAQEBAQEBAQEBAQEBAQEBAQEB
CeladonMansion3MapData,CQkwMDAoMDAJCQYBBSgFBisrKysrJwEBDxsLDxsoAQECMgsCMigBAQsLCwsLKAEBDxsLCwooAQECMgsLASkBAQsLCwsBAQEBKysrKyotAQEBAQEBAQEBAQEBAQEBAQEB
CeladonMansion4MapData,LisrKysXKxgoAQUBASgFKCgBAQEBKAEoKAEBAQEoASgoEBQVASgBKCgcHyEBKAEoKBwfIQEoASgoGjEMASgBKCgBAQEBKAEoKBYHBwgpASgoAQEBAQEBKCkWBwcHBwgp
CeladonMansion5MapData,ABIAJCUAABYEBAQEBAQEHgQEBAQEBAQEBAQEFBcEBAQEBAQnHQQEBAQEBAkEBAQECwQEBAQEBAsOBAoKBAQEDg==
CeladonMart1MapData,AQEBAQEBAQEBAQEBAQEBAQEBAQECHQcCAgIDAgICAgMLAiECBQUCAhAQEBAQECMQEBAQIxAQEBARERAIEBAQEBAQIxAQEBAjEBAQEBAQEAgQEBAQEBATGBgYGCAQEBAQEBAQCBAQEBAQEBAQEBAQEBAQEBAQEBAIEBAQEBAQEBAQEBAQEBAQEBAQEBAQEAYGEBAQEBAQEBAQEBAQBgYQEA==
CeladonMart2MapData,AQEBAQEBAQEBAQEBAQEBAQEBAQECHQcCAwICAwICAgIKAiECCwICAhAQEBAjEBAjEBAQEBAQEBAQEBAQEBAQECMQECMQEB4fHh8QEB4fHh8QEBAQExgYGxAQKisqKxAQKisqKxAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEB4fHh8QEB4fHh8QEBAQEBAQEBAQKisqKxAQKisqKw==
CeladonMart3MapData,AQEBAQEBAQEBAQEBAQEBAQEBAQECHQcCLgIuAi4CLgILAiECCgIMDBAQEBAQEBAQEBAQEBAQEBAQEBEREBAQEBAQEBAQEBAQEBAQEBAQEBAQEBIMGRIMEBAQEBAUGBgYGBgYGBAQIg4ODg8QEBAQECMQEBAQEBAQEBASDBkSDBAQEBAQIxAQEB4fHh8QECIODg4PEBAQEBAjEBAQKisqKw==
CeladonMart4MapData,AQEBAQEBAQEBAQEBAQEBAQEBAQECHQcCAgICAgICAgIKAiECCwICAhAQEBAQEBAQEBAQEBAQEBAQEBAQEBAeHx4fHh8eHxAQHh8eHx4fEBAQECorKisqKyorEBAqKyorKisQEBAQEBAQEBAQEBAQEBAQEBAQEBAQGBgYGBgYGBgYHBAQHh8eHx4fEBAQEBAQEBAQEBAjEBAqKyorKisQEA==
CeladonMart5MapData,AQEBAQEBAQEBAQEBAQEBAQEBAQECHQcCAwICAwICAgILAiECCgICAhAQEBAjEBAjEBAQEBAQEBAQEBAQEBAQECMQECMQEB4fHh8QEB4fHh8QEBAQExgYGxAQKisqKxAQKisqKxAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEB4fHh8QEB4fHh8QEBAQEBAQEBAQKisqKxAQKisqKw==
CeladonMartElevatorMapData,AgICKScnJycnJycnJwYGJw==
CeladonMartRoofMapData,MzIsLCwsLCwsLBUVHCUlJSUlMTMzMicnJycnJycnEREVJiYmJiYxMzMyJwgJFwgnJycnJxEhAgoCAjEzMzInCC0oCCcnJycnJycnJycnMTMzMicnJycnCAkXCCcnJycnJycxMzMyJycnJycILSgIJycnJycnJzEzMzInJycnJycnJycnJycnJycnMTMzMiwsLCwsLCwsLCwsLCwsLCwxMw==
CeladonPokecenterMapData,ChMaEAMKExoRESgRKBEKICIWAQogIwEBAQEBAQQXBQYFBAUFBQUlASUFAQEBAQEBAQEBAQEBAR0OGQEBAQEBAQEBAQEBBw8WAQEBAQEBAQEBAQEBDAwBAQEBDAwBAQEBDAwNDQEICAENDQEBAQENDQ==
CeladonPrizeRoomMapData,JSUlJSUlJSUlJSYmJCYkJiQmJiYYGBgYGBgYGBgYJycnJycnJycnJycnJycnJycnJycnJycnJycnJycnFRUVFScnFRUVFREREREGBhERERE=
CeruleanCityMapData,HR0dHR0dHR0dHR0dHT4hISEhIUxnZ0xOTk5MISEhISEhISEhISEhIR0dHR0dHR0dHR0dHR0+ISEhISFMZ2dMTk5OTCEhISEhISEhISEhISEdHR0dHR0dHR0dHR0dPiEhISEhTGdnTE5OTkwhISEhISEhISEhISEhHR0dHR1dX19fX19fX1whISEhIUxnZ0xMUFBMISEhISEhISEhISEhIR0dHR0dPiEhISEhISEhISEhISFMTk5MTk5OTCEhISEhISEhISEhISEdHR0dHT4hISEhISEhISEhISEhTE5OTE5OTkwhISEhISEhISEhISEhHR0dHR0+IUxpaWlpaWlpaWlpaWlOTmlOTmlpaWlpaWlpaWlpaWlpTh0dHR0dPiFMTk5OTk5OTk5OTk5pTk5pTk5pTk5OTk5OTk5paWlpaU4dHR0dHT4hTHZ2dnZ2dnZ2dnZOaU5OaU5OaXZ2dnZ2dnZ2aWlpaWlOHR0dHR0+IUx2dnZ2dnZ2dnZ2TmlOTmlOTml2dnZ2dnZ2dmlpaWlpTh0dHR0dPiFMAwUFBQUGAwUFBQUGPTw9PD08AwUFBQUGPTwDBQUFBQZfX19fbVwhTEASMhAJSUAPMhAJSTw9PD08PUASMhAJSTw9QA8yEAlJZGRkZGRkIUw9PD08PTw9PD08PTw9PE5OPTxOTk5OTk4VPE5OTk5MTmRkZGRkZCFMPD08PTw9PD08PTw9PD1OTjw9Tk5OTk5OFTxOTk5OTE5ZWVlZWVkhTGRkTk4DBQUFBQZxdHRzTk49PD08PTw9PBU8PTw9PExOISEhISEhIUxlYlBQQBIyEAlJdR8fIE5OPD08PTw9PD0VPDw9PD1MTCEhISEhISFMPTxOTk5OTk5OThYLCw1OTgR0dHR0dHQHPTxOTj08Tk5MTExMTExMTDw9Tk5OTk5OTk4ZEmpvUFAlHx8fHx8fYDw9Tk48PU5OPTw9PD08PTw9PD08PTw9PD08PTw9PGRkPwoxaDFoCkpkZE5OZGRMTDw9PD08PTw9PD08PTw9PD08PTw9PD1kbBcJCQkJCRIMYmNPUWViTE5MTExMTE49PE5OTU1NTU1NTU1NTU1NPTw9PGRkZGRkZGRkPBU9PExOTk5OTkxOPD1OTgICAgICAgICAgICAjw9PD1kbGRkZGRkZDwVPD1MTk1NTU1MTj08PTw9PHF0dHM9PD08PTw9PHF0dHNNTU1NTU08FT08TE4CAgICTE48PTw9PD11Hx8gPD08PTw9PD11Hx8gAgICAgICPBU8PUxOTU1NTUxOPTxOTmRkFgsLDT08AwUFBQUGFgsLDQMFBQUFBjwVPTxMTgICAgJMTjw9Tk4VbBkScG88PUAPMhAJSRkSa29ADzIQCUk8FTw9TE5NTU1NTE49PD08PTw9PD08PTw9PD08PTw9PD08PTw9PD08PBU9PExOAgICAkxOPD08PTw9PD08PTw9PD08PTw9PD08PTw9PD08PTwVPD1MTk1NTU1MTGlpaWlpaWlpaWlkZGlTaWlpaWlpaWlpaWlpaWlpaT08TE4CAgICTE5OTk5OTk5OTk5pFWxpTk5OTk5OTk5OTk5OTk5OTk48PUxOTU1NTUxOPTw9PD08PTw9PD08PTw9PD08PTw9PD08PTw9PD08PTxMTgICAgJMTjw9PD08PTw9PD08PTw9PD08PTw9PD08PTw9PD08PTw9TE5NTU1NTE5OTk5OaU4uN05pTk5OTk5OTk5MTi43TkxOTk5OTk5OTkxOAgICAkxMTExMTGlOGjROaVBQUFBQUFBQTE4aNE5MTExMTExMTExMTk1NTU1NTU1NTU1pTho0TmlOTk5OTk5OTkxOGjROTE1NTU1NTU1NTU0CAgICAgICAgICaU4aNE5pTk5OTk5OTk5MTho0TkwCAgICAgICAgIC
CeruleanGymMapData,BQUFBQUFBQUFBQoKCgoREQoKCgoKERERAQEREREKChEBARAQAQERCgoRBAQEBAQQEQoKEQEBAQEBEBEKChEQBAQQBAQRCgoREBEREBEREQoKERAQEBAREREKChEEBBAQERERCgoREQIQEAIBEQoKEREUEBAUEBEKCgoKChAQCgoKCgoKCgoICAoKCgo=
CeruleanHouse2MapData,GBgWGBgYGBgVFRUVFRUVFRUVFRUVFRUVFRUVFRULDBQVFRUVFRUfLxUVFRUVFRUVFRUVFRUVFRUVFSkpFRUVPA==
CeruleanHouseTrashedMapData,FhYDERIAAwMeHgcIBAQEBBAYCAYEBAUhBAQJExcPGSAEBA8mHQkEBAQEBSEEBAQECwQEBAUhBAQOBAoKGSAaGw==
CeruleanMartMapData,EhInJycnEhIhIRUVFRUhIRYBAQEBAQEBGxwBARscGxwRFBYBHh8eHxYJFgEBAQEBGAsWAQEBAQEWAQEICAEBAQ==
CinnabarGymMapData,JB8eHh4eJB8kHx4eHx8fHx8fHx8iATMzMzMiASIBMzMBAQEBAQEBASIBAQEBASIBIgEBAQEBJgEBAQEBIgEBAQEBIgEiAQEBAQEiAQEBAQEiAQEBAQEiASIBAQEBASIBAQEBASIBAQEBASIBIgEBAQEBIgEBAQEBIh4fIQEBIgEiHh8hAQEiHh8hAQEiMwEBAQEiASIzAQEBASIzAQEBASIBAQEBASIBIgEBAQEBIgEBAQEBIgEBAQEBIgEiAQEBAQEiAQEBAQEiAQEBAQEiASIBAQEBASIBAQEBASIBAQEBASIBIgEBAQEBIh8fIQEBIh4fIQEBIgEiHh8hAQEiAQECAQEiMwEBAQEiASIzAQEBASIBASwBASIBAQEBASIBIgEBAQEBIgEBAQEBIgEBAQEBJR8jAQEBAQEiAQEBAQEiAQEBAQEBAQEBAQEBASIBAQEBASIBAQEBAQEBAQEBAQEBIgExOAEB
CinnabarIslandMapData,TCEhI3F0dHR0c1VVVVUEdHR0dAdMISEjdR8fHx8gVVVVVSUfHx8fYEwhISMWCxFuCw1VVVRUPwoxaApKTCEhIxlwEglwb1VVVGwXCQkJEgxMISEjVVVVVVRUVVVVVVVVVVVVVUwhISNVVVVVVGxVVVVVVVVVVVVVTCEhI3F0dHR0c1VVVVVVVVVVVVVMISEjdR8fHx8gVVVVVVVVVVVVVUwhISMWCxFuCw1xdHRzcXR0c1VVTCEhIxlwEglwb3UfHyB1Hx8gVVVMISEjVVVVVVRUFgsLDRYLCw1VVUwhISNVVVVVVGwZEmpvGRJrb1VVTCEhIllaVVVVVVVVVVVVVVVVVVVMISEhISNVVVVVVVVVVVVVVVVVVUwhISEhIllZWVlZWVlZWVlZWVlZTCEhISEhISEhISEhISEhISEhISFMISEhISEhISEhISEhISEhISEhIUxMTExMTExMTExMTExMTExMTExM
ColosseumMapData,LwUFLwcuLwUFLzAWFjAWFjAWFjAWFhYZKSkfFhYWFhYZIxIVFyAWFhYWKycyMyctFhYWFiIUDw8RJBYWFhYWIioqJBYWFhYWFhYWFhYWFhY=
CopycatsHouse1FMapData,Dg4ADAAMAAwLCwMGAwMDCAMDAwMDAwMDAwMDAwMDAwMDAwQNDwQDAwMDBBEQBAMDAwMDAwMDAwMDAwUFAwMDAw==
CopycatsHouse2FMapData,FAECAAAMAAwVERADAwMDBwMDAwMDAwMDAwMDAwMDAwMDAwMGAwMDAwMDAwkDAwMDEgMDAwMDFgMTAwMDAwMXAw==
DiglettsCaveEntranceRoute11MapData,AQEBAQEBAQEBAQEBAQEBAQEUFBQUFAEBARQUFBQUAQEBFBQUCRQBAQEUFBQUFAEBARQUFBQUAQEBARUVAQEBAQ==
DiglettsCaveMapData,AwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDFg0NDgMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAxIUFB8DAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMSFAofAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDEhQUHwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAxIUFB8DAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMSFBQfAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDEhQUHwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAxIUFB8DAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMSFBQfAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDEhQUHwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAxIUFB4NDQ0OAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMSFBQUFBQUHwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDEhQUFBQUFB8DAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAxIUFBQUFBQfAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMSFBQUFBQUHg0NDQ4DAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAxgYGAgUFBQUFBQfAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMSFBQUFBQUHwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDEhQUFBQUFB8DAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAxIUFBQUFBQfAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDGBgYCBQUHwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAxIUFB8DAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMSFBQfAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDEhQUHg0NDQ0NDQ0NDQ0NDgMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAxIUFBQUFBQUFBQUFBQUFB8DAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMSFBQUFBQUFBQUFBQUFBQfAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDEhQUFBQUFBQUFBQUFBQUHwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAxIUFBQUFBQUFBQUFBQUFB4NDQ0NDQ0NDQ0NDQ4DAwMDAwMDAwMDAwMDGBgYGBgYGBgYGBgIFBQUFBQUFBQUFBQUFBQfAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDEhQUFBQUFBQUFBQUFBQKHwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMYGBgYGBgYGBgIFBQUFB8DAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDEhQUFBQfAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMYGBgYAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMD
FanClubMapData,GwkaGBkbCRsMDA0kJQwMDAwMDisqKQwMDB4uIBEiHgwMHh8hISMeDAwMDywtLwwMDAwMDAwMDAwMDCgoDAwMDA==
FightingDojoMapData,GAUFGCYmGAUFGBsQEBsQEBsQEBsYEBAYEBAYEBAYGxAQHBAQHBAQGxgQEBAQEBAQEBgbEBAQEBAQEBAbGBAQEBAQEBAQGBsQEBAQEBAQEBsYEBACEBACEBAYGxAQFBAQFBAQGxgQEBAQEBAQEBgaHxcfCAgXHxcP
